%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1649348542242394996,143997,1649348542208360780,world,0.00815962441266,0.003059721319,0.368708342314,-0.0115776332095,-0.0207516606897,-0.0195951275527,0.999525606632
1649348542242408454,143998,1649348542211155720,world,0.00860757753253,0.00354623375461,0.369991987944,-0.00137837801594,-0.0369317904115,-0.0122643262148,0.999241650105
1649348542252505137,143999,1649348542221563971,world,0.0080256415531,0.00268817017786,0.368733406067,-0.0107824942097,-0.0206023212522,-0.02249019593,0.999476671219
1649348542256979142,144000,1649348542223769511,world,0.00818443950266,0.00307174003683,0.368613213301,-0.0128367366269,-0.0219449754804,-0.0184120256454,0.999507248402
1649348542260383468,144001,1649348542228940441,world,0.00844035390764,0.00175046047661,0.367471784353,-0.0343145802617,-0.0351177491248,-0.0298613961786,0.998347401619
1649348542272366288,144002,1649348542238459632,world,0.00738775217906,0.00402437895536,0.369487851858,-0.0146431718022,-0.0288000553846,-0.0157615598291,0.999353647232
1649348542276715034,144003,1649348542244085288,world,0.00816560350358,0.00304533983581,0.368593752384,-0.0131825143471,-0.02187483944,-0.018801080063,0.999497056007
1649348542276749298,144004,1649348542246783438,world,0.00812525115907,0.00314442068338,0.368453502655,-0.0140502573922,-0.0228017233312,-0.0189622212201,0.999461472034
1649348542281527428,144005,1649348542252377826,world,0.00865256600082,0.00411323457956,0.370215684175,-0.0128495860845,-0.0394682623446,-0.0147003373131,0.99903011322
1649348542298829010,144006,1649348542265780764,world,0.00814726017416,0.003017002251,0.368758887053,-0.0118180690333,-0.0208831578493,-0.0185322463512,0.999540269375
1649348542301301188,144007,1649348542270289140,world,0.00845347810537,0.00176348234527,0.367481291294,-0.0363100245595,-0.0349642299116,-0.0294022187591,0.998295843601
