%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1649348785033310153,185006,1649348784993775398,world,0.00546012399718,0.0399703718722,0.370361357927,-0.0105932056904,-0.0247681923211,-0.00675158947706,0.999614357948
1649348785040063952,185007,1649348785002962371,world,0.00527215516195,0.0398991927505,0.37025231123,-0.00893805269152,-0.0167725924402,2.89095751214e-05,0.999819397926
1649348785040081388,185008,1649348785004231558,world,0.0057006473653,0.0402753539383,0.370212584734,-0.00741477916017,-0.0242862161249,-0.0078346170485,0.99964684248
1649348785046371040,185009,1649348785011670943,world,0.00547228800133,0.0398818925023,0.370158553123,-0.0108212400228,-0.0226943716407,-0.00173193519004,0.999682426453
1649348785048985966,185010,1649348785017029274,world,0.0055412328802,0.0399638749659,0.370194345713,-0.00962867494673,-0.0236090421677,-0.00332664884627,0.999669373035
1649348785052112121,185011,1649348785021901795,world,0.00569595443085,0.0399480909109,0.369924902916,-0.0131801189855,-0.0184317529202,-0.00203574378975,0.999741196632
1649348785058020859,185012,1649348785027731877,world,0.00559716764838,0.0397495962679,0.369931668043,-0.0133639192209,-0.0204712003469,-0.00465909391642,0.99969035387
1649348785064705084,185013,1649348785034577776,world,0.00551544921473,0.0399678349495,0.370176076889,-0.00942902639508,-0.0229247137904,-0.00565075268969,0.999676823616
1649348785070093899,185014,1649348785039752921,world,0.00565005047247,0.0399541482329,0.370038032532,-0.0138728125021,-0.0193329229951,-0.00209306529723,0.99971473217
1649348785076732303,185015,1649348785045774665,world,0.00553094455972,0.0400213375688,0.370310842991,-0.0114400358871,-0.0233943797648,-0.00639885989949,0.999640405178
1649348785084194111,185016,1649348785051383910,world,0.00562846660614,0.0400369800627,0.370235770941,-0.00911955535412,-0.0220452807844,-0.0061220084317,0.999696612358
1649348785089198771,185017,1649348785057299073,world,0.00526330806315,0.0399232171476,0.370256900787,-0.00925052072853,-0.0168818831444,-9.01834719116e-05,0.999814689159
1649348785094230989,185018,1649348785063066537,world,0.00559832667932,0.0398005917668,0.370179146528,-0.0112582324073,-0.0224384441972,-0.000119977041322,0.999684870243
1649348785099440924,185019,1649348785069126883,world,0.00532002327964,0.0398544445634,0.370306134224,-0.00953284278512,-0.0156499575824,0.00159460504074,0.999830842018
1649348785105982956,185020,1649348785075060284,world,0.00557555351406,0.0400308966637,0.370319962502,-0.0115710226819,-0.0227952059358,-0.00553742749617,0.999657869339
1649348785112074769,185021,1649348785081253801,world,0.00582115864381,0.0400599204004,0.37034368515,-0.0109604820609,-0.0218486543745,-0.00627030059695,0.999681532383
1649348785117189755,185022,1649348785087032421,world,0.00546794384718,0.0399327129126,0.370205193758,-0.00945673137903,-0.0227437000722,-0.00483148405328,0.999684989452
1649348785123220257,185023,1649348785092780140,world,0.00546383112669,0.0398730188608,0.370201021433,-0.0105401538312,-0.0224823243916,-0.00412231916562,0.999683201313
1649348785131150958,185024,1649348785098844745,world,0.00554332043976,0.0399624817073,0.370197802782,-0.00918461196125,-0.0233599543571,-0.00402578804642,0.999676823616
1649348785135808337,185025,1649348785104668892,world,0.00567532330751,0.0399557873607,0.370059370995,-0.0138597087935,-0.018660120666,-0.00230682012625,0.999727249146
1649348785169392117,185026,1649348785114733899,world,0.00550361676142,0.0396695658565,0.369778424501,-0.0112066948786,-0.0188388898969,-0.00636743893847,0.999739527702
1649348785169416480,185027,1649348785116281045,world,0.0054783616215,0.0399185493588,0.370314955711,-0.0112596498802,-0.0236045829952,-0.00442563742399,0.999648272991
1649348785172706891,185028,1649348785140497318,world,0.00559005746618,0.0397116243839,0.369844049215,-0.0130218211561,-0.0197901874781,-0.00484930211678,0.999707698822
1649348785172755193,185029,1649348785140587309,world,0.00556450616568,0.0399920120835,0.370188266039,-0.00928164925426,-0.023259319365,-0.0049504917115,0.999674201012
1649348785172778427,185030,1649348785140615730,world,0.0055532194674,0.0399716384709,0.370292216539,-0.0108086168766,-0.0240288022906,-0.00371071137488,0.99964594841
1649348785172791648,185031,1649348785140653484,world,0.00553487753496,0.039766009897,0.369765341282,-0.0120800351724,-0.0207988005131,-0.00584273040295,0.999693632126
1649348785177504923,185032,1649348785146370667,world,0.00562713155523,0.0396514125168,0.370175719261,-0.0152928866446,-0.0147459199652,-0.00321907084435,0.999769151211
1649348785181969270,185033,1649348785151742585,world,0.00523018091917,0.0398945584893,0.3702647686,-0.00902124494314,-0.0166481342167,1.57709218911e-05,0.999820709229
1649348785188971873,185034,1649348785157964707,world,0.00551261473447,0.0399373024702,0.370202600956,-0.00879917480052,-0.0224145203829,-0.00677067227662,0.99968713522
1649348785194597608,185035,1649348785163886003,world,0.00562222814187,0.0400057882071,0.37022832036,-0.00900357961655,-0.0239631645381,-0.00577443884686,0.999655663967
1649348785200203462,185036,1649348785169934588,world,0.00568621838465,0.0399187840521,0.370438963175,-0.0120994141325,-0.0238821152598,-0.00372116267681,0.999634683132
1649348785206750555,185037,1649348785176126360,world,0.00570765603334,0.0396525524557,0.369997382164,-0.0153818279505,-0.0176375843585,-0.00176461995579,0.999724626541
1649348785212642847,185038,1649348785181865620,world,0.00551254395396,0.0398920550942,0.37004879117,-0.00713703548536,-0.02310619317,-0.00518018519506,0.999694168568
1649348785218954978,185039,1649348785188548980,world,0.00556980306283,0.0397818386555,0.36979842186,-0.0104099465534,-0.0249397251755,-0.00553124118596,0.999619483948
